Series Number,Filename,UUID,,,,Hash
1,adewale-the-amebo,cad316c3-37f8-4b27-9f53-9d803bfcfee7,,,,
2,alli-the-queeny,a57ecda4-a26f-4e97-a757-e1800af39aab,,,,
3,aminat-the-snnobish,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,,,,
4,aminu-the-carpenter,4f30b751-96e7-40fe-97fd-e3d44973ff2f,,,,
5,chibuike-the-kudibag,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,,,,
6,chidinma-the-model,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,,,,
7,chioma-pretty- girl,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,,,,
8,damilare-the-handsome,27eca2dc-d7df-474a-8f8f-1858152c711e,,,,
9,ebiowie-the-planter,f1df8270-4d60-4bd4-8959-ba7c384db5c4,,,,
10,emeka-the-businessman,9b3d75da-4887-4089-aee4-50de3954fdc9,,,,
11,gbeminyi-the-monk,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,,,,
12,henry-the-sportsman,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,,,,
13,mayowa-the-smallie,dfbb4163-df24-4d54-b74c-6218a68df8bd,,,,
14,muyiwa-the-stylish,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,,,,
15,nina-paper-chaser,59524227-dc52-407c-8cca-e9e8c5fb3018,,,,
16,oluwaseun-spicy,808f7007-6552-4efa-bd13-4b7c337b102b,,,,
17,sesan-the-smartie,ba3edda7-8940-4ca4-97ba-826398d5909f,,,,
18,tiwa-london,78da7aeb-8352-4e25-89ac-dc48b5984089,,,,
19,tunde-yoruba-demon,53b46bd7-a537-402b-b249-0b4074a8faae,,,,
20,yakubu-the-zombie,4adb6781-1614-424e-8f77-fe59ffca2209,,,,
